dataset_id,num_max_mean,instance_count,num_mean_mean,kurtosis_mean,number_of_features,number_of_numeric_features,num_min_mean,number_of_categorical_features,skewness_max,skewness_min,skewness_std,number_of_classes,skewness_mean,kurtosis_min,log_number_of_features,log_instance_count,class_entropy,ratio_numerical_features,ratio_outlier_features,class_max_prob,canonical_corr_attr_class,mean_categorical_imbalance,num_zero_frac,class_entropy_norm
3,,3196.0,,0.0,36.0,0.0,,36.0,0.0,0.0,0.0,2.0,0.0,0.0,3.58351893845611,8.069655306886165,0.998575538655458,0.0,,0.522215269086358,,0.6321052357113058,,0.998575538655458
6,15.0,20000.0,5.925465625,0.6977379005298197,16.0,16.0,0.0,0.0,1.159975015423379,-0.3100790698727306,0.4552305332806456,26.0,0.2902970341018098,-0.4211788221165569,2.772588722239781,9.903487552536127,4.699810726573158,1.0,0.9375,0.04065,0.8880225584996884,0.0,0.026209375,0.9998661845262038
11,5.0,625.0,3.0,-1.300798439249973,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.300798439249973,1.3862943611198906,6.437751649736401,1.318116246441582,1.0,0.0,0.4608,0.8226008887803499,0.0,0.0,0.831638758545922
12,474.6111111111111,2000.0,318.27038888888893,-0.3151882007048306,216.0,216.0,188.0601851851852,0.0,0.8630705307139173,-1.0738237890694804,0.4246221655532513,10.0,0.0275605169037823,-1.3893209589478597,5.375278407684165,7.600902459542082,3.321928094887362,1.0,0.6064814814814815,0.1,0.9804957690774516,0.0,0.0054421296296296,1.0
14,0.3819513794736842,2000.0,0.1320320840176973,0.1190062808232672,76.0,76.0,0.0031921567105263,0.0,1.0299855346493232,-0.1206246202987202,0.2475411569555456,10.0,0.5447006835842778,-1.1252793103314478,4.330733340286331,7.600902459542082,3.321928094887362,1.0,0.9078947368421052,0.1,0.9708470078178844,0.0,0.0,1.0
15,10.0,699.0,3.135704100282237,1.6841150960407207,9.0,9.0,1.0,0.0,3.5606578444952945,0.5928585326862844,0.7973552467075149,2.0,1.47748866673108,-0.7988441354436477,2.19722457733622,6.54965074223381,0.9293179372497982,1.0,0.4444444444444444,0.6552217453505007,0.9158553066452704,0.0,0.0,0.9293179372497982
16,6.893724891875,2000.0,0.0530847392466406,-0.0456548457524952,64.0,64.0,-6.7565145228125,0.0,0.4187220480956684,-0.3391130927319123,0.1634135386696266,10.0,-0.0042856626077367,-0.9447092659152544,4.158883083359672,7.600902459542082,3.321928094887362,1.0,0.953125,0.1,0.9569173525765609,0.0,0.0,1.0
18,2969.839272355,2000.0,1052.6997316402774,-0.5362369226243187,6.0,6.0,256.69782190666666,0.0,1.008483001475662,-0.0628366626143518,0.3349249949781063,10.0,0.5315671843447335,-1.0383559313284458,1.791759469228055,7.600902459542082,3.321928094887362,1.0,0.1666666666666666,0.1,0.9877175581231814,0.0,0.2033333333333333,1.0
22,221.2252379051064,2000.0,88.63642941472713,0.7353956813037774,47.0,47.0,13.034599618723403,0.0,1.7945995145373377,0.0054915223686021,0.482446117171015,10.0,0.790830076474756,-0.9914117205299372,3.8501476017100575,7.600902459542082,3.321928094887362,1.0,0.851063829787234,0.1,0.9371866789006228,0.0,0.0,1.0
23,32.5,1473.0,17.89986422267481,0.2928560302339109,9.0,2.0,8.0,7.0,1.0990139461060853,0.2564492054818987,0.4212823703120932,3.0,0.677731575793992,-0.9438944908638432,2.19722457733622,7.29505641646263,1.5390345832497476,0.2222222222222222,0.5,0.4270196877121521,0.2659906986606035,0.4872789577473896,0.0329260013577732,0.971022710347714
28,13.390625,5620.0,4.911243327402135,163.28656088540754,64.0,64.0,0.0,0.0,52.99527777137818,-1.302992451715646,11.079486045529404,10.0,5.280836107520172,-1.6465198529421108,4.158883083359672,8.634086942887738,3.3218327248667654,1.0,0.171875,0.1017793594306049,0.9328023001626904,0.0,0.4883868994661922,0.9999712907631132
29,17033.958333333332,690.0,207.0584299702249,49.93170391116674,15.0,6.0,2.2916666666666665,9.0,13.14065501444546,1.1458915555559264,4.105103183912149,2.0,4.423867143578729,1.1192361294529949,2.70805020110221,6.536691597591305,0.991230898903352,0.4,1.0,0.5550724637681159,0.4803628643183912,0.4126810325076281,0.2200483091787439,0.991230898903352
31,2655.0,1000.0,476.5838571428571,0.9242775257980996,20.0,7.0,39.57142857142857,13.0,1.9496276798326209,-0.5313481143125486,0.9049518896502818,2.0,0.9203791257169,-1.3814485027493704,2.995732273553991,6.907755278982137,0.8812908992306927,0.35,0.5714285714285714,0.7,0.2507825799230582,0.5005000000000001,0.0,0.8812908992306927
