task_id,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,classifier__bootstrap_0.0,classifier__bootstrap_1.0,classifier__criterion_0.0,classifier__criterion_1.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0
3,-0.7471815261538869,-1.6486116272021551,-1.6402239297079697,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,-0.13021287229363288,-1.6486116272021551,-1.6402239297079697,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,0.10627646862306818,-1.6486116272021551,-1.2759108783015327,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,-0.5435124406785238,-1.6486116272021551,1.456437007246743,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,1.6924621363695311,-1.6486116272021551,-1.6402239297079697,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,0.13165843682453737,-1.6486116272021551,-0.7294413011918774,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3,-0.7223725976541695,-1.6486116272021551,-0.0008151983790039855,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,-0.7368260672146074,-1.6486116272021551,0.36349785302743287,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,-0.19901506817309797,-1.6486116272021551,-1.4580674040047512,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,-0.10703458434501478,-1.6486116272021551,-1.0937543525983144,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,-0.4721694189751757,-1.6486116272021551,1.6385935329499615,0.0,1.0,1.0,0.0,0.0,1.0,0.0
3,-0.3176535804623391,-1.6486116272021551,-1.2759108783015327,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,0.3597718983939908,-1.6486116272021551,-0.0008151983790039855,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,-0.34537279371039714,-1.6486116272021551,-1.2759108783015327,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,1.5124869604527051,-1.6486116272021551,-1.0937543525983144,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,0.6693998374993486,-1.6486116272021551,-0.5472847754886591,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,-0.21604788196313615,-1.6486116272021551,-1.0937543525983144,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,-0.6319476138700603,-1.6486116272021551,-1.2759108783015327,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,1.1495565792619,-1.6486116272021551,-0.0008151983790039855,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,-0.6530158175206302,-1.6486116272021551,-0.5472847754886591,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,-0.8068993476180399,-1.6486116272021551,-1.4580674040047512,0.0,1.0,1.0,0.0,0.0,0.0,1.0
6,-0.8466516869971984,-1.6486116272021551,-1.4580674040047512,0.0,1.0,1.0,0.0,0.0,0.0,1.0
6,-1.4578908003623055,-1.6486116272021551,-1.4580674040047512,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,-1.3535080460590956,-1.6486116272021551,-1.2759108783015327,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,-1.3403762094789629,-1.6486116272021551,-0.7294413011918774,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,-0.3657661068993406,-1.6486116272021551,-1.4580674040047512,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,-1.2181536308104455,-1.6486116272021551,-0.9115978268950959,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6,-0.48646870890615507,-1.6486116272021551,-1.6402239297079697,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6,-1.1805556673181141,-1.4750618817707568,-1.4580674040047512,0.0,1.0,1.0,0.0,0.0,0.0,1.0
6,-1.1452905045793826,-1.6486116272021551,-1.4580674040047512,1.0,0.0,1.0,0.0,0.0,1.0,0.0
6,-0.7986050441375421,-1.6486116272021551,-1.4580674040047512,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6,-1.2892152512361177,-1.6486116272021551,-1.6402239297079697,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,-1.4494973208859971,-1.6486116272021551,-0.9115978268950959,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6,-1.0893835156426823,-1.4750618817707568,-1.0937543525983144,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,-1.4591375061775835,-1.6486116272021551,-1.0937543525983144,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,-0.8452483453709982,-1.4750618817707568,-1.0937543525983144,0.0,1.0,1.0,0.0,0.0,0.0,1.0
6,-0.6034213793233116,-1.6486116272021551,-1.2759108783015327,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,-0.2022009838476326,-1.6486116272021551,-1.6402239297079697,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,-1.3165909272858745,-1.4750618817707568,-1.0937543525983144,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,-1.1767615782683796,-1.4750618817707568,-1.6402239297079697,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,-1.3772829118749004,-1.1279623909079601,-1.2759108783015327,1.0,0.0,1.0,0.0,0.0,0.0,1.0
11,-0.7457717477879923,-1.1279623909079601,0.7278109044338698,1.0,0.0,1.0,0.0,0.0,0.0,1.0
